Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-05-2010,1,,,,,,,,,,0.00,,,,1.70,,0.7,0.40,0.8,,,,,0.50,,,,,1.0,0.7,,0.9,,1.10,1.00,,,0.30,1.1,0.90,0.40,
01-05-2010,2,,,,,,,,,,0.00,,,,1.00,,1.1,0.10,1.1,,,,,0.70,,,,,0.5,0.6,,0.4,,0.80,0.90,,,0.30,1.1,1.00,0.30,
01-05-2010,3,,,,,,,,,,0.10,,,,0.80,,1.2,0.00,0.8,,,,,0.80,,,,,0.5,0.3,,0.4,,0.50,0.70,,,0.20,0.9,0.90,0.40,
01-05-2010,4,,,,,,,,,,0.10,,,,0.90,,1.3,0.10,0.9,,,,,0.60,,,,,0.5,0.6,,0.4,,0.60,0.70,,,0.20,1.0,1.00,0.80,
01-05-2010,5,,,,,,,,,,0.10,,,,1.20,,1.7,0.10,0.6,,,,,0.50,,,,,0.6,1.2,,0.4,,0.80,0.80,,,0.30,1.1,1.00,0.50,
01-05-2010,6,,,,,,,,,,0.10,,,,1.70,,2.3,0.60,0.9,,,,,0.70,,,,,1.0,1.8,,0.7,,0.90,0.80,,,0.40,1.3,1.10,2.20,
01-05-2010,7,,,,,,,,,,0.30,,,,2.60,,1.7,1.10,1.5,,,,,0.90,,,,,2.1,2.3,,0.8,,1.30,0.90,,,0.50,1.6,1.20,3.60,
01-05-2010,8,,,,,,,,,,0.40,,,,2.80,,1.3,0.60,1.5,,,,,1.00,,,,,2.0,1.0,,1.5,,1.20,1.00,,,0.50,1.3,1.50,1.60,
01-05-2010,9,,,,,,,,,,0.10,,,,1.50,,1.0,0.40,1.4,,,,,0.80,,,,,1.5,0.9,,1.4,,1.10,1.00,,,0.40,1.2,1.30,0.60,
01-05-2010,10,,,,,,,,,,0.00,,,,1.40,,0.7,0.40,1.1,,,,,0.50,,,,,1.5,0.7,,0.9,,0.80,1.00,,,0.30,1.1,1.10,0.40,
01-05-2010,11,,,,,,,,,,0.10,,,,1.00,,0.5,0.20,1.0,,,,,0.30,,,,,0.8,0.6,,0.8,,0.60,1.10,,,0.30,0.9,0.90,0.30,
01-05-2010,12,,,,,,,,,,0.10,,,,0.80,,0.4,,0.8,,,,,0.30,,,,,0.7,0.3,,0.8,,0.60,0.90,,,0.30,0.8,0.90,0.40,
01-05-2010,13,,,,,,,,,,0.10,,,,0.80,,0.3,0.20,0.7,,,,,0.30,,,,,0.7,0.4,,1.0,,0.60,0.80,,,0.40,0.9,0.80,0.40,
01-05-2010,14,,,,,,,,,,0.20,,,,0.90,,0.2,0.30,0.8,,,,,0.30,,,,,0.7,0.3,,0.9,,0.60,0.80,,,0.40,0.9,0.80,0.50,
01-05-2010,15,,,,,,,,,,0.10,,,,0.80,,0.2,0.10,0.7,,,,,0.20,,,,,0.7,0.4,,0.7,,0.60,0.80,,,0.50,0.9,1.00,0.40,
01-05-2010,16,,,,,,,,,,0.10,,,,0.90,,0.2,0.00,0.7,,,,,0.20,,,,,0.7,0.4,,0.6,,0.60,0.90,,,0.40,0.8,1.00,0.40,
01-05-2010,17,,,,,,,,,,0.30,,,,0.90,,0.2,0.10,0.8,,,,,0.20,,,,,0.7,0.4,,0.6,,0.60,0.80,,,0.40,0.9,1.00,0.40,
01-05-2010,18,,,,,,,,,,0.20,,,,0.90,,0.3,0.10,0.8,,,,,0.20,,,,,0.8,0.6,,0.6,,0.60,0.90,,,0.40,0.9,1.00,0.50,
01-05-2010,19,,,,,,,,,,0.20,,,,1.00,,0.5,0.10,0.8,,,,,0.20,,,,,0.8,0.5,,0.6,,0.60,0.90,,,0.40,1.1,1.00,0.50,
01-05-2010,20,,,,,,,,,,0.30,,,,1.10,,0.7,0.30,0.7,,,,,0.30,,,,,0.9,0.5,,0.7,,0.80,0.90,,,0.50,1.4,1.00,0.50,
01-05-2010,21,,,,,,,,,,0.40,,,,1.30,,0.8,0.40,0.9,,,,,0.40,,,,,1.0,0.8,,0.8,,0.80,1.00,,,0.70,1.4,1.00,0.50,
01-05-2010,22,,,,,,,,,,0.40,,,,1.50,,0.9,0.60,1.2,,,,,0.70,,,,,0.9,0.7,,1.1,,0.90,1.10,,,0.90,1.7,1.20,0.80,
01-05-2010,23,,,,,,,,,,0.30,,,,1.00,,1.0,0.90,1.2,,,,,1.10,,,,,1.1,0.5,,1.9,,1.00,1.10,,,1.20,1.6,1.20,1.40,
01-05-2010,24,,,,,,,,,,0.30,,,,1.20,,1.1,1.10,1.8,,,,,0.80,,,,,1.6,0.7,,1.5,,0.90,1.20,,,1.10,1.6,1.40,2.10,
02-05-2010,1,,,,,,,,,,0.20,,,,1.70,,2.0,1.00,2.0,,,,,0.70,,,,,2.4,0.6,,1.8,,1.00,1.20,,,0.70,2.0,1.40,3.20,
02-05-2010,2,,,,,,,,,,0.10,,,,1.10,,2.0,0.40,1.2,,,,,0.70,,,,,1.7,0.5,,0.9,,0.80,1.40,,,0.60,1.8,1.40,2.20,
02-05-2010,3,,,,,,,,,,0.10,,,,1.10,,1.6,0.40,1.2,,,,,0.40,,,,,2.2,0.6,,0.9,,1.20,1.60,,,0.30,1.5,1.50,1.40,
02-05-2010,4,,,,,,,,,,0.10,,,,1.20,,1.0,0.60,1.1,,,,,0.30,,,,,1.9,0.9,,0.8,,1.10,1.80,,,0.40,1.0,1.40,1.90,
02-05-2010,5,,,,,,,,,,0.10,,,,1.20,,1.5,0.70,1.4,,,,,0.50,,,,,1.7,0.9,,1.7,,1.20,1.90,,,0.40,1.3,1.30,1.80,
02-05-2010,6,,,,,,,,,,0.30,,,,1.40,,2.2,1.20,1.7,,,,,0.50,,,,,1.8,1.5,,2.4,,1.00,1.90,,,0.80,1.8,1.40,2.60,
02-05-2010,7,,,,,,,,,,0.50,,,,2.10,,2.4,2.30,3.0,,,,,0.80,,,,,2.6,1.8,,3.5,,1.10,2.30,,,1.40,2.8,1.60,3.20,
02-05-2010,8,,,,,,,,,,0.50,,,,2.20,,2.6,1.60,3.7,,,,,0.90,,,,,3.1,2.0,,2.7,,1.60,2.50,,,1.40,3.0,1.70,1.90,
02-05-2010,9,,,,,,,,,,0.40,,,,2.00,,1.6,1.80,2.6,,,,,0.70,,,,,2.1,1.8,,3.0,,1.70,2.50,,,1.20,1.9,1.50,0.80,
02-05-2010,10,,,,,,,,,,0.20,,,,1.80,,1.3,1.40,1.5,,,,,0.60,,,,,2.1,1.5,,2.3,,1.10,2.00,,,0.70,1.1,1.40,0.90,
02-05-2010,11,,,,,,,,,,0.10,,,,1.80,,1.3,0.80,1.2,,,,,0.50,,,,,1.3,1.3,,0.9,,1.30,1.70,,,0.60,1.3,1.50,0.70,
02-05-2010,12,,,,,,,,,,0.20,,,,1.50,,0.6,0.40,0.9,,,,,0.40,,,,,0.9,0.9,,1.0,,1.10,1.30,,,0.40,1.1,1.10,0.40,
02-05-2010,13,,,,,,,,,,0.10,,,,1.30,,0.5,0.30,0.8,,,,,0.40,,,,,0.8,0.6,,1.0,,0.90,1.20,,,0.20,0.9,1.00,0.40,
02-05-2010,14,,,,,,,,,,0.20,,,,1.10,,0.4,0.30,0.8,,,,,0.40,,,,,0.8,0.6,,1.0,,0.90,1.00,,,0.30,0.8,1.00,0.40,
02-05-2010,15,,,,,,,,,,0.10,,,,1.20,,0.3,0.20,0.9,,,,,0.30,,,,,0.6,0.6,,1.1,,0.80,1.00,,,0.30,0.8,1.00,0.40,
02-05-2010,16,,,,,,,,,,0.10,,,,1.20,,0.3,0.10,1.0,,,,,0.30,,,,,0.7,0.5,,0.9,,0.80,1.10,,,0.30,0.8,1.10,0.40,
02-05-2010,17,,,,,,,,,,0.10,,,,1.00,,0.3,0.40,0.9,,,,,0.30,,,,,0.8,0.5,,0.7,,0.80,1.00,,,0.30,0.8,1.10,0.40,
02-05-2010,18,,,,,,,,,,0.10,,,,0.90,,0.5,0.40,0.9,,,,,0.30,,,,,0.9,0.5,,0.9,,0.80,1.00,,,0.50,0.9,1.10,0.40,
02-05-2010,19,,,,,,,,,,0.20,,,,1.00,,0.6,0.50,1.2,,,,,0.40,,,,,1.2,0.5,,0.9,,0.70,1.10,,,0.50,1.1,1.10,0.50,
02-05-2010,20,,,,,,,,,,0.20,,,,1.20,,0.9,0.60,1.2,,,,,0.50,,,,,1.5,0.6,,1.0,,0.90,1.30,,,0.60,1.2,1.10,0.60,
02-05-2010,21,,,,,,,,,,0.40,,,,1.40,,1.1,0.60,1.1,,,,,0.60,,,,,1.5,0.7,,1.3,,1.30,1.30,,,0.80,1.3,1.20,0.70,
02-05-2010,22,,,,,,,,,,0.30,,,,1.60,,1.3,0.70,1.3,,,,,0.90,,,,,1.6,1.0,,1.0,,1.60,1.30,,,0.90,1.4,1.00,0.60,
02-05-2010,23,,,,,,,,,,0.30,,,,1.50,,1.3,0.80,1.3,,,,,0.70,,,,,1.9,1.2,,1.1,,1.50,1.10,,,0.70,1.3,1.10,1.00,
02-05-2010,24,,,,,,,,,,0.30,,,,1.10,,1.7,0.50,1.3,,,,,0.40,,,,,1.6,0.7,,1.0,,1.20,0.90,,,0.60,1.5,1.10,1.50,
03-05-2010,1,,,,,,,,,,0.20,,,,1.10,,1.9,0.30,1.1,,,,,0.40,,,,,1.1,0.5,,0.9,,0.90,0.80,,,0.50,1.2,1.10,1.10,
03-05-2010,2,,,,,,,,,,0.20,,,,0.90,,1.7,0.30,1.1,,,,,0.30,,,,,1.2,0.4,,0.8,,0.70,0.80,,,0.50,1.2,1.00,1.40,
03-05-2010,3,,,,,,,,,,0.30,,,,0.90,,1.3,0.20,1.1,,,,,0.20,,,,,0.9,0.3,,0.7,,0.60,0.80,,,0.50,1.2,1.00,1.00,
03-05-2010,4,,,,,,,,,,,,,,1.00,,1.2,0.30,0.8,,,,,0.30,,,,,0.8,0.3,,0.7,,0.60,1.20,,,0.50,1.2,1.10,1.10,
03-05-2010,5,,,,,,,,,,1.00,,,,1.20,,1.3,0.50,1.0,,,,,0.40,,,,,1.0,0.8,,0.8,,0.90,1.30,,,0.70,1.3,1.40,1.50,
03-05-2010,6,,,,,,,,,,2.00,,,,2.40,,2.3,1.00,1.3,,,,,0.70,,,,,1.4,1.7,,1.1,,1.70,1.50,,,1.30,1.9,1.70,2.40,
03-05-2010,7,,,,,,,,,,2.80,,,,3.50,,5.1,1.40,2.9,,,,,0.80,,,,,2.5,2.1,,2.1,,2.00,2.30,,,2.00,2.9,1.90,3.50,
03-05-2010,8,,,,,,,,,,2.10,,,,2.70,,3.8,1.80,3.2,,,,,2.10,,,,,1.7,1.8,,2.2,,3.10,2.30,,,2.30,3.1,2.00,2.70,
03-05-2010,9,,,,,,,,,,0.70,,,,2.20,,2.7,1.50,3.9,,,,,2.10,,,,,1.9,2.4,,2.1,,2.70,2.20,,,2.90,2.6,1.70,2.70,
03-05-2010,10,,,,,,,,,,0.60,,,,1.70,,1.8,1.80,3.2,,,,,1.00,,,,,2.0,1.5,,2.8,,1.90,2.00,,,2.30,2.3,1.40,1.80,
03-05-2010,11,,,,,,,,,,0.40,,,,1.40,,1.6,0.70,1.8,,,,,0.60,,,,,1.8,1.6,,2.5,,1.10,1.40,,,1.10,,1.00,1.20,
03-05-2010,12,,,,,,,,,,0.20,,,,1.50,,0.8,0.40,1.0,,,,,0.50,,,,,1.9,1.3,,1.8,,1.20,1.30,,,0.80,,0.90,1.00,
03-05-2010,13,,,,,,,,,,0.30,,,,1.50,,0.8,0.40,1.2,,,,,0.60,,,,,1.4,0.9,,1.5,,1.10,1.30,,,0.70,,1.00,0.70,
03-05-2010,14,,,,,,,,,,0.40,,,,1.30,,0.7,0.40,1.1,,,,,0.60,,,,,1.1,0.9,,1.8,,1.00,1.10,,,0.60,,1.00,0.60,
03-05-2010,15,,,,,,,,,,0.30,,,,1.50,,0.6,0.30,1.4,,,,,0.60,,,,,0.9,0.8,,0.9,,1.00,1.10,,,0.50,0.6,1.10,0.60,
03-05-2010,16,,,,,,,,,,0.30,,,,1.40,,0.7,,1.3,,,,,0.60,,,,,0.8,0.8,,0.9,,1.00,1.10,,,0.50,0.6,1.10,0.60,
03-05-2010,17,,,,,,,,,,0.30,,,,1.50,,0.7,,1.2,,,,,0.40,,,,,0.8,0.9,,1.4,,1.10,1.10,,,0.40,0.5,1.10,0.70,
03-05-2010,18,,,,,,,,,,0.30,,,,1.20,,0.7,,1.2,,,,,0.40,,,,,0.8,0.8,,1.4,,1.00,1.10,,,0.40,0.5,1.00,1.10,
03-05-2010,19,,,,,,,,,,0.40,,,,1.20,,0.8,,1.6,,,,,0.50,,,,,1.1,1.0,,1.5,,1.00,1.00,,,0.50,0.5,1.00,0.70,
03-05-2010,20,,,,,,,,,,0.40,,,,0.90,,0.6,,1.0,,,,,0.70,,,,,1.5,0.6,,2.0,,0.90,0.80,,,0.70,0.3,1.00,0.70,
03-05-2010,21,,,,,,,,,,0.50,,,,0.90,,0.6,,0.9,,,,,0.40,,,,,1.7,0.4,,2.4,,0.80,0.80,,,0.70,0.4,0.90,0.60,
03-05-2010,22,,,,,,,,,,0.60,,,,0.70,,0.6,,1.0,,,,,0.40,,,,,1.1,0.4,,1.4,,0.70,0.80,,,0.50,0.5,0.80,0.60,
03-05-2010,23,,,,,,,,,,0.50,,,,0.60,,0.6,,0.7,,,,,0.40,,,,,0.9,0.4,,1.2,,0.60,0.80,,,0.40,0.5,0.80,0.40,
03-05-2010,24,,,,,,,,,,0.60,,,,0.50,,0.6,0.10,0.7,,,,,0.30,,,,,0.8,0.2,,1.0,,0.50,0.80,,,0.40,0.3,0.70,0.40,
04-05-2010,1,,,,,,,,,,1.10,,,,0.50,,0.6,0.10,0.6,,,,,0.20,,,,,0.7,0.3,,0.7,,0.50,0.80,,,0.50,0.3,0.70,0.30,
04-05-2010,2,,,,,,,,,,0.70,,,,0.50,,0.5,0.10,0.5,,,,,0.20,,,,,0.7,0.2,,0.6,,0.50,0.70,,,0.50,0.2,0.70,,
04-05-2010,3,,,,,,,,,,0.40,,,,0.60,,0.5,0.10,0.5,,,,,0.20,,,,,0.7,0.1,,0.6,,0.40,0.80,,,0.50,0.2,0.80,0.30,
04-05-2010,4,,,,,,,,,,0.40,,,,0.50,,0.6,0.10,0.5,,,,,0.20,,,,,0.7,0.2,,0.8,,0.40,0.80,,,0.60,0.3,0.80,0.40,
04-05-2010,5,,,,,,,,,,1.10,,,,0.50,,0.6,0.40,0.6,,,,,0.30,,,,,0.9,0.2,,1.1,,0.50,0.80,,,0.70,0.3,0.90,0.80,
04-05-2010,6,,,,,,,,,,2.00,,,,0.60,,0.7,0.30,0.8,,,,,0.40,,,,,1.0,0.3,,1.6,,0.70,1.10,,,0.90,0.4,1.00,1.00,
04-05-2010,7,,,,,,,,,,2.10,,,,0.60,,0.9,0.50,1.1,,,,,0.50,,,,,1.5,0.4,,2.2,,1.00,1.30,,,1.30,0.5,1.10,1.30,
04-05-2010,8,,,,,,,,,,1.30,,,,0.80,,0.9,0.60,1.3,,,,,0.40,,,,,1.4,0.4,,2.0,,0.90,1.10,,,1.00,0.6,1.00,1.30,
04-05-2010,9,,,,,,,,,,0.70,,,,1.00,,1.0,0.60,1.3,,,,,0.50,,,,,1.4,0.6,,2.0,,0.80,0.90,,,0.60,0.6,1.00,,
04-05-2010,10,,,,,,,,,,0.40,,,,1.00,,0.9,0.50,1.2,,,,,0.70,,,,,1.7,0.5,,1.8,,0.80,0.80,,,0.50,0.5,0.90,,
04-05-2010,11,,,,,,,,,,0.30,,,,0.90,,0.9,0.50,1.2,,,,,0.70,,,,,1.7,0.4,,1.8,,0.80,0.80,,,0.60,0.5,0.80,,
04-05-2010,12,,,,,,,,,,0.30,,,,0.90,,0.9,0.60,1.1,,,,,0.60,,,,,1.6,0.4,,1.6,,0.90,0.80,,,0.50,0.4,0.80,0.70,
04-05-2010,13,,,,,,,,,,0.40,,,,0.90,,0.9,0.60,1.2,,,,,0.70,,,,,1.6,0.5,,1.7,,0.70,0.70,,,0.60,0.5,0.70,0.70,
04-05-2010,14,,,,,,,,,,0.40,,,,1.00,,0.9,0.30,1.2,,,,,0.70,,,,,1.4,0.5,,1.7,,0.70,0.80,,,0.60,0.5,0.70,0.60,
04-05-2010,15,,,,,,,,,,0.30,,,,1.10,,0.8,0.40,1.0,,,,,0.70,,,,,1.1,0.7,,1.3,,0.80,0.80,,,0.50,0.6,0.80,0.60,
04-05-2010,16,,,,,,,,,,0.30,,,,1.10,,0.7,0.50,1.1,,,,,0.60,,,,,0.9,0.8,,1.5,,0.90,0.90,,,0.50,0.5,0.90,0.60,
04-05-2010,17,,,,,,,,,,0.20,,,,1.30,,0.6,0.50,1.1,,,,,0.50,,,,,1.2,0.8,,1.7,,0.90,0.80,,,0.50,0.6,0.90,0.60,
04-05-2010,18,,,,,,,,,,0.40,,,,1.10,,0.6,0.40,1.0,,,,,0.60,,,,,1.5,0.7,,2.3,,0.80,0.90,,,0.50,0.5,0.90,0.80,
04-05-2010,19,,,,,,,,,,0.40,,,,0.70,,0.7,0.50,1.2,,,,,0.50,,,,,1.1,0.5,,1.0,,0.90,0.80,,,0.60,0.5,0.90,0.90,
04-05-2010,20,,,,,,,,,,0.50,,,,0.60,,0.7,0.30,0.9,,,,,0.40,,,,,1.2,0.4,,1.2,,0.70,0.80,,,0.60,0.2,1.00,0.70,
04-05-2010,21,,,,,,,,,,0.50,,,,0.70,,0.8,0.40,0.9,,,,,0.40,,,,,1.3,0.5,,1.7,,0.70,0.90,,,0.70,0.4,1.00,0.80,
04-05-2010,22,,,,,,,,,,0.60,,,,,,0.8,0.40,0.9,,,,,0.30,,,,,1.2,0.5,,1.7,,0.70,1.00,,,0.70,0.5,1.00,0.90,
04-05-2010,23,,,,,,,,,,0.60,,,,0.60,,0.8,0.30,0.9,,,,,0.40,,,,,1.1,0.3,,1.4,,0.70,0.90,,,0.80,0.5,1.10,0.70,
04-05-2010,24,,,,,,,,,,0.60,,,,0.60,,0.7,0.30,0.8,,,,,0.30,,,,,1.1,0.2,,1.5,,0.60,0.80,,,0.50,0.4,,0.80,
05-05-2010,1,,,,,,,,,,0.40,,,,0.60,,0.8,0.30,0.8,,,,,0.40,,,,,1.2,0.3,,1.0,,0.50,0.80,,,0.40,0.3,,0.50,
05-05-2010,2,,,,,,,,,,0.40,,,,0.80,,0.9,0.20,0.6,,,,,0.20,,,,,1.0,0.4,,0.8,,1.10,0.90,,,0.40,0.3,,0.50,
05-05-2010,3,,,,,,,,,,0.50,,,,0.80,,1.0,0.20,0.6,,,,,0.20,,,,,0.9,0.4,,0.9,,,0.80,,,0.30,0.4,,0.50,
05-05-2010,4,,,,,,,,,,,,,,1.00,,1.0,0.40,0.7,,,,,0.30,,,,,1.2,0.5,,1.0,,0.50,0.80,,,0.50,0.6,,0.50,
05-05-2010,5,,,,,,,,,,1.00,,,,1.20,,1.0,0.50,0.9,,,,,0.30,,,,,1.3,0.5,,0.9,,0.80,1.00,,,0.60,1.2,,0.70,
05-05-2010,6,,,,,,,,,,1.90,,,,1.70,,1.6,1.40,1.8,,,,,0.50,,,,,2.0,1.4,,1.6,,1.20,1.50,,,1.10,1.2,,1.30,
05-05-2010,7,,,,,,,,,,1.80,,,,3.40,,2.6,1.90,2.4,,,,,0.70,,,,,2.4,2.8,,1.6,,2.00,1.60,,,1.90,2.1,1.90,2.60,
05-05-2010,8,,,,,,,,,,1.70,,,,2.30,,2.9,1.90,2.4,,,,,0.80,,,,,2.4,2.4,,2.0,,2.70,2.20,,,1.60,2.3,1.80,2.50,
05-05-2010,9,,,,,,,,,,0.70,,,,2.40,,2.5,1.40,2.6,,,,,1.10,,,,,1.5,2.7,,1.9,,2.70,2.10,,,1.80,2.0,1.50,1.90,
05-05-2010,10,,,,,,,,,,,,,,2.00,,2.2,1.10,2.3,,,,,1.00,,,,,1.3,1.9,,2.1,,1.80,1.60,,,1.50,1.3,1.30,1.30,
05-05-2010,11,,,,,,,,,,,,,,1.40,,1.0,0.80,1.6,,,,,1.20,,,,,1.8,0.8,,1.9,,1.10,1.10,,,0.70,0.6,1.00,0.90,
05-05-2010,12,,,,,,,,,,,,,,1.00,,0.5,0.70,0.8,,,,,0.60,,,,,1.3,0.3,,1.8,,0.90,0.90,,,0.80,0.5,0.80,0.70,
05-05-2010,13,,,,,,,,,,0.30,,,,0.80,,0.4,0.30,0.8,,,,,0.30,,,,,0.9,0.3,,1.4,,0.70,0.80,,,0.40,0.3,0.80,0.70,
05-05-2010,14,,,,,,,,,,0.20,,,,0.70,,0.3,0.10,0.7,,,,,0.30,,,,,0.8,0.2,,1.1,,0.70,0.70,,,0.20,0.3,0.80,0.60,
05-05-2010,15,,,,,,,,,,0.20,,,,0.80,,0.3,0.10,0.6,,,,,0.30,,,,,0.8,0.3,,1.1,,0.70,0.70,,,0.20,0.3,0.90,0.60,
05-05-2010,16,,,,,,,,,,0.10,,,,0.90,,0.3,0.10,0.6,,,,,0.20,,,,,0.8,0.3,,1.1,,0.60,0.70,,,0.30,0.3,0.90,0.90,
05-05-2010,17,,,,,,,,,,0.20,,,,0.80,,0.3,0.10,0.5,,,,,0.20,,,,,0.8,0.3,,1.2,,0.70,0.80,,,0.30,0.2,0.90,0.90,
05-05-2010,18,,,,,,,,,,0.20,,,,0.90,,0.3,0.10,0.8,,,,,0.30,,,,,1.0,0.4,,1.4,,0.80,0.80,,,0.30,0.3,0.90,0.80,
05-05-2010,19,,,,,,,,,,0.30,,,,1.00,,0.4,0.30,0.9,,,,,0.30,,,,,1.2,0.4,,1.9,,0.60,0.80,,,0.40,0.4,0.90,0.70,
05-05-2010,20,,,,,,,,,,0.30,,,,1.10,,0.6,0.40,,,,,,0.40,,,,,1.1,0.4,,1.8,,0.70,1.00,,,0.30,0.4,1.00,0.70,
05-05-2010,21,,,,,,,,,,0.30,,,,1.20,,0.6,0.50,,,,,,0.40,,,,,1.1,0.4,,1.8,,0.80,1.00,,,0.40,0.4,1.10,0.70,
05-05-2010,22,,,,,,,,,,0.30,,,,1.00,,0.6,0.40,,,,,,0.40,,,,,1.1,0.5,,1.4,,0.90,1.20,,,0.60,0.5,1.10,0.70,
05-05-2010,23,,,,,,,,,,0.20,,,,1.10,,0.8,0.50,0.7,,,,,0.60,,,,,1.2,0.6,,1.8,,0.80,1.00,,,0.60,0.6,1.10,0.70,
05-05-2010,24,,,,,,,,,,0.30,,,,1.00,,0.9,0.40,0.7,,,,,0.40,,,,,1.1,0.5,,1.4,,0.80,0.90,,,0.80,0.6,1.00,0.90,
06-05-2010,1,,,,,,,,,,0.30,,,,1.00,,0.7,0.30,0.6,,,,,0.30,,,,,0.9,0.5,,1.4,,0.80,1.20,,,0.70,0.4,1.00,0.80,
06-05-2010,2,,,,,,,,,,0.40,,,,0.90,,1.0,0.50,0.6,,,,,0.20,,,,,0.8,0.3,,1.0,,0.70,1.20,,,0.70,0.7,1.20,0.50,
06-05-2010,3,,,,,,,,,,0.50,,,,0.80,,0.9,0.50,0.6,,,,,0.10,,,,,1.1,0.2,,0.9,,0.60,1.00,,,0.60,0.7,1.20,0.40,
06-05-2010,4,,,,,,,,,,0.70,,,,0.80,,1.0,0.70,0.6,,,,,0.10,,,,,0.9,0.2,,0.8,,0.50,1.10,,,0.40,0.6,1.30,0.80,
06-05-2010,5,,,,,,,,,,1.00,,,,1.30,,1.4,0.70,0.9,,,,,0.20,,,,,1.2,0.6,,1.0,,0.80,1.50,,,0.70,0.9,1.50,2.00,
06-05-2010,6,,,,,,,,,,1.10,,,,2.50,,2.0,1.10,1.7,,,,,0.50,,,,,2.1,0.9,,1.3,,1.50,2.10,,,1.70,2.2,1.80,2.10,
06-05-2010,7,,,,,,,,,,2.10,,,,4.50,,2.8,2.50,3.5,,,,,1.00,,,,,3.6,2.4,,2.8,,2.40,2.90,,,2.10,3.7,2.30,2.70,
06-05-2010,8,,,,,,,,,,3.20,,,,3.30,,2.7,2.80,3.5,,,,,0.90,,,,,4.0,2.8,,2.8,,2.60,3.90,,,2.50,3.5,2.40,3.20,
06-05-2010,9,,,,,,,,,,1.30,,,,3.20,,3.2,3.10,3.0,,,,,0.80,,,,,2.1,4.2,,1.7,,2.50,3.60,,,2.80,2.3,2.40,2.30,
06-05-2010,10,,,,,,,,,,0.50,,,,3.90,,2.3,2.10,2.2,,,,,1.30,,,,,1.4,3.1,,1.4,,2.30,2.70,,,2.00,1.7,1.70,1.30,
06-05-2010,11,,,,,,,,,,0.40,,,,3.00,,1.8,0.60,2.3,,,,,0.70,,,,,1.1,1.8,,1.1,,1.90,2.00,,,0.90,1.5,1.90,1.00,
06-05-2010,12,,,,,,,,,,0.40,,,,1.90,,,0.60,1.2,,,,,0.40,,,,,1.1,1.1,,1.7,,1.40,1.40,,,0.70,1.2,1.20,0.70,
06-05-2010,13,,,,,,,,,,0.60,,,,1.20,,,0.40,0.9,,,,,0.50,,,,,1.1,0.8,,1.6,,0.90,1.00,,,0.30,0.7,1.10,1.00,
06-05-2010,14,,,,,,,,,,0.60,,,,1.00,,,0.20,0.7,,,,,0.60,,,,,1.0,0.3,,1.5,,1.00,0.90,,,0.20,0.4,0.80,0.80,
06-05-2010,15,,,,,,,,,,0.30,,,,0.90,,,0.10,0.6,,,,,0.40,,,,,1.0,0.4,,1.6,,0.80,0.80,,,0.30,0.5,1.00,0.80,
06-05-2010,16,,,,,,,,,,0.30,,,,0.90,,,0.20,0.5,,,,,0.30,,,,,1.0,0.3,,1.4,,0.70,0.80,,,0.30,0.3,1.00,0.80,
06-05-2010,17,,,,,,,,,,0.70,,,,0.90,,,0.10,0.5,,,,,0.30,,,,,1.0,0.3,,1.3,,0.80,0.80,,,0.30,0.4,1.10,0.70,
06-05-2010,18,,,,,,,,,,0.60,,,,0.90,,,0.20,0.5,,,,,0.30,,,,,1.0,,,1.5,,0.70,1.00,,,0.30,0.4,1.10,0.70,
06-05-2010,19,,,,,,,,,,0.50,,,,1.00,,,0.20,0.7,,,,,0.40,,,,,1.1,0.4,,1.8,,0.80,0.90,,,0.50,0.4,1.10,0.80,
06-05-2010,20,,,,,,,,,,0.60,,,,1.30,,0.3,0.40,1.2,,,,,0.70,,,,,1.4,0.6,,1.6,,0.90,1.00,,,0.60,0.5,1.20,1.10,
06-05-2010,21,,,,,,,,,,0.50,,,,1.10,,0.4,0.50,1.0,,,,,0.80,,,,,1.2,0.7,,1.9,,0.70,1.00,,,0.60,0.6,1.20,0.90,
06-05-2010,22,,,,,,,,,,0.80,,,,0.80,,0.7,0.40,0.9,,,,,0.80,,,,,1.2,0.8,,1.7,,0.80,1.10,,,0.60,0.7,1.20,0.80,
06-05-2010,23,,,,,,,,,,0.60,,,,0.60,,0.7,0.40,0.9,,,,,0.60,,,,,1.2,0.7,,2.0,,0.70,1.10,,,0.90,0.6,1.10,1.30,
06-05-2010,24,,,,,,,,,,0.50,,,,0.60,,0.7,0.30,0.8,,,,,0.50,,,,,1.1,0.4,,1.2,,0.60,0.90,,,0.80,0.7,1.00,0.40,
07-05-2010,1,,,,,,,,,,0.50,,,,0.60,,0.5,0.10,0.6,,,,,0.30,,,,,1.0,0.4,,0.8,,0.60,0.90,,,0.60,0.6,0.90,0.30,
07-05-2010,2,,,,,,,,,,0.50,,,,0.70,,0.5,0.10,0.5,,,,,0.30,,,,,0.8,0.3,,0.7,,0.50,0.80,,,0.40,0.5,1.10,0.30,
