Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
19-07-2019,21,,0.60,,,,,0.10,,0.20,,,,,0.30,,0.20,,,0.20,,0.30,0.20,,0.60,0.70,0.30,0.20,0.30,0.40,0.30,,0.50,0.60,,,,,0.40,,,0.40,0.30,,0.40,0.50,,0.40,0.90,
19-07-2019,22,,0.50,,,,,0.10,,0.30,,,,,0.30,,0.40,,,0.30,,0.20,0.30,,0.50,0.70,0.40,0.30,0.30,0.30,0.30,,0.40,0.30,,,,,0.40,,,0.50,0.50,,0.40,0.40,,0.30,0.90,
19-07-2019,23,,0.30,,,,,0.30,,0.40,,,,,0.40,,0.30,,,0.30,,0.20,0.20,,0.50,0.80,0.40,0.40,0.30,0.40,0.50,,0.40,0.40,,,,,0.30,,,0.40,0.50,,0.30,0.40,,0.30,0.60,
19-07-2019,24,,0.10,,,,,0.30,,0.60,,,,,0.60,,0.40,,,0.30,,0.10,0.30,,0.40,0.70,0.30,0.40,0.20,0.40,0.40,,0.40,0.40,,,,,0.30,,,0.20,0.40,,0.50,0.50,,0.30,0.60,
20-07-2019,1,,0.00,,,,,0.10,,0.60,,,,,0.50,,0.30,,,0.30,,0.10,0.40,,0.30,0.70,0.40,0.20,0.20,0.20,0.40,,0.40,0.20,,,,,0.40,,,0.30,0.40,,0.60,0.50,,0.30,0.60,
20-07-2019,2,,0.10,,,,,0.10,,0.50,,,,,0.30,,0.20,,,0.20,,0.10,0.30,,0.50,0.50,0.30,0.10,0.10,0.10,0.40,,0.30,0.30,,,,,0.40,,,0.20,0.30,,0.60,0.60,,0.20,0.60,
20-07-2019,3,,0.10,,,,,0.00,,0.30,,,,,0.20,,0.20,,,0.10,,0.10,0.30,,0.40,0.30,0.20,0.10,0.00,0.10,0.10,,0.20,0.30,,,,,0.20,,,0.10,0.20,,0.60,0.40,,0.10,0.60,
20-07-2019,4,,0.20,,,,,0.00,,0.10,,,,,0.20,,0.20,,,0.10,,0.00,0.10,,0.40,0.30,0.20,0.10,0.10,0.20,0.10,,0.40,0.20,,,,,0.30,,,0.10,0.30,,0.50,0.40,,0.10,0.50,
20-07-2019,5,,0.20,,,,,0.00,,0.10,,,,,0.10,,0.30,,,0.10,,0.00,0.20,,0.30,0.50,0.40,0.20,0.20,0.30,0.10,,0.60,0.50,,,,,0.40,,,0.30,0.30,,0.50,0.50,,0.10,0.70,
20-07-2019,6,,0.20,,,,,0.00,,0.10,,,,,0.10,,0.40,,,0.10,,0.10,0.30,,0.50,0.90,0.60,0.50,0.20,0.40,0.10,,0.60,0.60,,,,,0.60,,,0.50,0.50,,0.80,0.50,,0.20,0.70,
20-07-2019,7,,0.10,,,,,0.10,,0.20,,,,,0.20,,0.80,,,0.20,,0.10,0.60,,0.80,1.80,0.60,0.40,0.20,0.40,0.20,,0.70,0.80,,,,,0.70,,,0.70,0.50,,0.60,0.90,,0.50,0.80,
20-07-2019,8,,0.10,,,,,0.20,,0.20,,,,,0.30,,0.90,,,0.40,,0.10,0.40,,0.60,0.70,0.70,0.30,0.20,0.60,0.10,,0.70,0.90,,,,,1.00,,,0.80,0.40,,0.80,0.70,,0.60,1.10,
20-07-2019,9,,0.10,,,,,0.30,,0.20,,,,,0.30,,0.50,,,0.40,,0.20,0.60,,0.90,0.60,0.60,0.40,0.10,0.70,0.10,,0.40,0.90,,,,,0.60,,,0.70,0.30,,0.50,0.60,,0.30,0.90,
20-07-2019,10,,0.10,,,,,0.20,,0.20,,,,,0.20,,0.30,,,0.30,,0.20,0.40,,0.50,0.60,0.40,0.20,0.10,0.40,0.10,,,0.70,,,,,0.10,,,0.40,0.40,,0.50,0.50,,0.30,0.40,
20-07-2019,11,,0.10,,,,,0.10,,0.30,,,,,0.20,,0.20,,,0.30,,0.10,0.40,,0.50,0.50,0.40,0.20,0.10,0.50,0.20,,0.20,0.60,,,,,0.10,,,0.40,0.40,,0.40,0.60,,0.30,0.40,
20-07-2019,12,,0.20,,,,,,,0.30,,,,,0.30,,0.30,,,0.20,,0.10,0.40,,0.40,0.50,0.30,0.20,0.10,0.30,0.20,,0.30,0.60,,,,,0.20,,,0.40,0.30,,0.40,0.60,,0.20,0.40,
20-07-2019,13,,0.20,,,,,,,0.20,,,,,0.20,,0.30,,,0.20,,0.20,0.40,,0.30,0.50,0.30,0.20,0.10,0.10,0.20,,0.20,0.30,,,,,0.20,,,0.40,0.20,,0.50,0.30,,0.20,0.20,
20-07-2019,14,,0.20,,,,,,,0.20,,,,,0.20,,0.40,,,0.20,,0.20,0.30,,0.20,0.40,0.30,0.30,0.10,0.10,0.20,,0.30,0.30,,,,,0.20,,,0.50,0.20,,0.30,0.30,,0.10,0.20,
20-07-2019,15,,0.20,,,,,,,0.20,,,,,0.30,,0.50,,,0.20,,0.30,0.30,,0.10,0.30,0.20,0.30,0.10,0.20,0.20,,0.10,0.20,,,,,0.20,,,0.50,0.20,,0.20,0.30,,0.10,0.20,
20-07-2019,16,,0.10,,,,,,,0.20,,,,,0.50,,0.40,,,0.20,,0.30,0.30,,0.10,0.30,0.10,0.40,0.10,0.10,0.20,,0.10,0.20,,,,,0.10,,,0.40,0.10,,0.30,0.30,,0.10,0.20,
20-07-2019,17,,0.20,,,,,,,0.30,,,,,0.50,,0.30,,,0.10,,0.40,0.30,,0.10,0.50,0.10,0.30,0.10,0.10,0.20,,0.00,0.20,,,,,0.10,,,0.50,0.10,,0.20,0.20,,0.10,0.10,
20-07-2019,18,,0.20,,,,,,,0.30,,,,,0.50,,0.40,,,0.00,,0.30,0.50,,0.20,0.50,0.20,0.20,0.10,0.20,0.30,,0.00,0.30,,,,,0.20,,,0.50,0.10,,0.20,0.20,,0.10,0.10,
20-07-2019,19,,0.30,,,,,,,0.20,,,,,0.40,,0.10,,,0.00,,0.10,0.40,,0.20,0.10,0.20,0.10,0.10,0.30,0.30,,0.00,0.30,,,,,0.20,,,0.20,0.20,,0.30,0.30,,0.20,0.10,
20-07-2019,20,,0.20,,,,,,,0.10,,,,,0.30,,0.30,,,0.10,,0.20,0.30,,0.10,0.00,0.10,0.10,0.00,0.30,0.10,,0.10,0.30,,,,,0.10,,,0.20,0.20,,0.30,0.30,,0.10,0.10,
20-07-2019,21,,0.00,,,,,,,0.10,,,,,0.30,,0.30,,,0.20,,0.20,0.30,,0.20,0.00,0.10,0.10,0.00,0.40,0.10,,0.20,0.30,,,,,0.10,,,0.20,0.10,,0.20,0.30,,0.10,0.00,
20-07-2019,22,,0.10,,,,,,,0.00,,,,,0.20,,0.10,,,0.00,,0.20,0.00,,0.20,0.10,0.00,0.10,0.10,0.30,0.10,,0.10,0.30,,,,,0.10,,,0.20,0.10,,0.20,0.20,,0.10,0.10,
20-07-2019,23,,0.00,,,,,,,0.10,,,,,0.10,,0.20,,,0.20,,0.20,0.20,,0.20,0.20,0.10,0.00,0.10,0.20,0.10,,,0.50,,,,,0.10,,,0.10,0.20,,0.30,0.30,,0.10,0.20,
20-07-2019,24,,0.30,,,,,,,0.10,,,,,0.40,,0.10,,,0.10,,0.10,0.20,,0.20,0.30,0.10,0.00,0.10,0.20,0.10,,0.30,0.30,,,,,0.20,,,0.10,0.10,,0.20,0.30,,0.10,0.10,
21-07-2019,1,,0.10,,,,,,,0.10,,,,,0.20,,0.10,,,0.20,,0.10,0.10,,0.10,0.20,0.10,0.20,0.10,0.20,0.10,,0.30,0.30,,,,,0.10,,,0.10,0.20,,0.30,0.30,,0.10,0.10,
21-07-2019,2,,0.10,,,,,,,0.20,,,,,0.10,,0.30,,,0.20,,0.10,0.10,,0.20,0.20,0.20,0.10,0.10,0.00,0.10,,0.30,0.30,,,,,0.10,,,0.20,0.20,,0.20,0.20,,0.20,0.10,
21-07-2019,3,,0.10,,,,,,,0.20,,,,,0.20,,0.20,,,0.20,,0.10,0.10,,0.30,0.20,0.20,0.10,0.10,0.10,0.10,,0.20,0.30,,,,,0.10,,,0.10,0.30,,0.20,0.20,,0.20,0.20,
21-07-2019,4,,0.00,,,,,,,0.10,,,,,0.30,,0.20,,,0.20,,0.00,0.20,,0.30,0.40,0.30,0.30,0.10,0.20,0.00,,0.20,0.50,,,,,0.10,,,0.20,0.30,,0.30,0.30,,0.10,0.30,
21-07-2019,5,,0.10,,,,,,,0.10,,,,,0.20,,0.20,,,0.20,,0.00,0.30,,0.30,0.40,0.20,0.40,0.10,0.10,0.10,,0.30,0.30,,,,,0.20,,,0.30,0.30,,0.30,0.40,,0.20,0.40,
21-07-2019,6,,0.10,,,,,,,0.20,,,,,0.30,,0.50,,,0.50,,0.00,0.50,,0.30,0.60,0.30,0.60,0.10,0.30,0.10,,0.20,0.30,,,,,0.40,,,0.40,0.40,,0.40,0.40,,0.30,0.20,
21-07-2019,7,,0.10,,,,,,,0.30,,,,,0.40,,0.80,,,0.70,,0.00,1.10,,0.40,0.60,0.60,0.60,0.10,0.40,0.20,,0.30,0.50,,,,,0.50,,,0.50,0.60,,0.60,0.50,,0.40,0.40,
21-07-2019,8,,0.40,,,,,,,0.30,,,,,0.20,,0.70,,,0.80,,0.10,0.90,,0.40,0.40,0.60,0.60,0.00,0.40,,,0.20,0.50,,,,,0.40,,,0.70,0.70,,0.50,0.50,,0.50,0.50,
21-07-2019,9,,0.40,,,,,,,0.40,,,,,0.30,,0.70,,,0.80,,0.10,0.50,,0.30,0.40,0.40,0.70,0.10,0.20,,,0.10,0.30,,,,,0.20,,,0.60,0.50,,0.30,0.10,,0.40,0.30,
21-07-2019,10,,0.40,,,,,,,0.30,,,,,0.30,,0.40,,,0.30,,0.10,0.10,,0.20,0.40,0.10,0.40,0.10,0.20,,,0.10,0.20,,,,,0.10,,,0.50,0.50,,0.20,0.10,,0.30,0.20,
21-07-2019,11,,0.30,,,,,,,0.10,,,,,0.30,,0.30,,,0.10,,0.10,0.20,,0.20,0.30,0.10,0.30,0.00,0.10,,,0.00,0.10,,,,,0.10,,,0.30,0.50,,0.10,0.10,,0.20,0.10,
21-07-2019,12,,0.10,,,,,,,0.10,,,,,0.30,,0.30,,,0.10,,0.00,0.00,,0.10,0.40,0.00,0.20,0.00,0.10,,,0.00,0.10,,,,,0.00,,,0.30,0.30,,0.10,0.00,,0.20,0.10,
21-07-2019,13,,0.10,,,,,,,0.00,,,,,0.20,,0.20,,,0.10,,0.20,0.10,,0.00,0.20,0.00,0.10,0.00,0.10,,,0.10,0.00,,,,,0.10,,,0.30,0.20,,0.00,0.10,,0.10,0.10,
21-07-2019,14,,0.10,,,,,,,0.10,,,,,0.20,,0.20,,,0.00,,0.20,0.10,,0.10,0.20,0.00,0.10,0.10,0.10,,,0.10,0.10,,,,,0.10,,,0.30,0.20,,0.10,0.10,,0.10,0.00,
21-07-2019,15,,0.10,,,,,,,0.10,,,,,0.20,,0.30,,,0.10,,0.30,0.20,,0.10,0.10,0.00,0.20,0.10,0.00,,,0.20,0.10,,,,,0.10,,,0.30,0.10,,0.10,0.20,,0.10,0.10,
21-07-2019,16,,0.10,,,,,,,0.10,,,,,0.30,,0.30,,,0.20,,0.20,0.20,,0.10,0.30,0.20,0.20,0.10,0.20,,,0.30,0.10,,,,,0.10,,,0.20,0.10,,0.20,0.30,,0.10,0.10,
21-07-2019,17,,0.20,,,,,,,0.10,,,,,0.30,,0.30,,,0.30,,0.20,0.30,,0.10,0.50,0.30,0.20,0.10,0.30,,,0.40,0.20,,,,,0.10,,,0.30,0.20,,0.40,0.40,,0.20,0.20,
21-07-2019,18,,0.20,,,,,,,0.10,,,,,0.20,,0.30,,,0.10,,0.20,0.20,,0.50,0.20,,0.20,0.20,0.20,,,0.10,0.70,,,,,0.40,,,0.30,0.20,,0.30,0.20,,0.20,0.10,
21-07-2019,19,,0.30,,,,,,,0.10,,,,,0.40,,0.50,,,0.30,,0.30,0.20,,0.50,0.70,,0.30,,0.20,,,0.30,1.30,,,,,0.30,,,0.30,0.50,,0.40,0.30,,0.30,0.50,
21-07-2019,20,,0.30,,,,,,,0.30,,,,,0.50,,0.40,,,0.30,,0.40,0.30,,1.00,0.60,,0.30,0.10,0.30,,,0.20,1.00,,,,,0.10,,,0.40,0.40,,0.40,0.30,,0.40,0.50,
21-07-2019,21,,0.30,,,,,,,0.20,,,,,0.50,,0.50,,,0.20,,0.20,0.30,,0.90,0.80,0.10,0.30,0.10,0.20,,,0.00,0.80,,,,,0.10,,,0.40,0.60,,0.20,0.20,,0.50,0.60,
21-07-2019,22,,0.30,,,,,,,0.10,,,,,0.60,,0.70,,,0.20,,0.20,0.30,,0.60,0.60,0.10,0.40,0.20,0.20,,,0.10,0.60,,,,,0.20,,,0.50,0.50,,0.30,0.30,,0.40,0.30,
21-07-2019,23,,0.30,,,,,,,0.40,,,,,0.30,,0.70,,,0.40,,0.20,0.40,,0.50,0.70,0.20,0.50,0.10,0.30,,,0.40,0.70,,,,,0.10,,,0.60,0.50,,0.30,0.50,,0.30,0.60,
21-07-2019,24,,0.20,,,,,,,0.20,,,,,0.30,,0.40,,,0.40,,0.20,0.30,,0.40,0.70,0.40,0.50,0.10,0.20,,,0.50,0.40,,,,,0.10,,,0.40,0.40,,0.20,0.30,,0.20,0.40,
22-07-2019,1,,0.40,,,,,,,0.20,,,,,0.30,,0.20,,,0.30,,0.30,0.30,,0.30,0.60,0.40,0.40,0.20,0.10,,,0.20,0.20,,,,,0.10,,,0.10,0.20,,0.20,0.20,,0.10,0.30,
22-07-2019,2,,0.40,,,,,,,0.20,,,,,0.20,,0.10,,,0.30,,0.20,0.30,,0.40,0.50,0.20,0.30,0.10,0.10,,,0.10,0.30,,,,,0.00,,,0.00,0.10,,0.20,0.30,,0.10,0.40,
22-07-2019,3,,0.20,,,,,,,0.20,,,,,0.10,,0.20,,,0.20,,0.20,0.20,,0.40,0.30,0.20,0.30,0.00,0.00,,,0.20,0.30,,,,,0.10,,,0.00,0.10,,0.20,0.20,,0.10,0.50,
22-07-2019,4,,0.30,,,,,,,0.20,,,,,0.10,,0.30,,,0.20,,0.10,0.10,,0.40,0.40,0.20,0.50,0.00,0.20,,,0.10,0.20,,,,,0.10,,,0.20,0.10,,0.30,0.20,,0.10,0.40,
22-07-2019,5,,0.30,,,,,,,0.20,,,,,0.10,,0.50,,,0.30,,0.10,0.30,,0.40,0.80,0.40,0.40,0.00,0.20,,,0.20,0.20,,,,,0.30,,,0.30,0.40,,0.30,0.40,,0.30,0.50,
22-07-2019,6,,0.30,,,,,,,0.40,,,,,0.60,,1.00,,,0.30,,0.00,0.50,,0.50,0.60,0.90,0.60,0.10,0.30,,,0.80,0.40,,,,,0.60,,,0.60,0.50,,0.40,0.60,,0.50,0.70,
22-07-2019,7,,0.30,,,,,,,0.70,,,,,1.40,,1.60,,,0.60,,0.00,0.80,,0.80,1.10,1.30,1.20,0.10,1.10,,,0.90,1.10,,,,,0.90,,,0.90,1.10,,0.60,0.80,,0.90,0.80,
22-07-2019,8,,0.40,,,,,,,0.70,,,,,0.50,,1.40,,,0.50,,0.10,0.70,,1.00,1.00,1.10,0.90,0.20,1.70,,,1.30,0.70,,,,,1.00,,,0.80,1.10,,0.50,0.80,,1.10,1.10,
22-07-2019,9,,0.50,,,,,,,0.60,,,,,0.40,,0.60,,,0.60,,0.20,0.40,,0.70,0.60,0.70,0.60,0.30,0.70,,,0.80,0.80,,,,,0.60,,,0.70,0.90,,0.70,0.80,,0.70,1.20,
22-07-2019,10,,0.40,,,,,,,0.50,,,,,0.40,,0.70,,,0.60,,0.10,0.70,,0.50,0.50,0.50,0.80,0.30,0.60,0.40,,0.50,0.40,,,,,0.50,,,0.80,0.90,,0.50,0.80,,0.40,0.80,
22-07-2019,11,,,,,,,,,0.30,,,,,0.40,,0.60,,,0.40,,0.20,0.40,,0.40,0.50,0.40,0.70,0.20,0.40,0.40,,0.40,0.20,,,,,0.40,,,0.60,0.60,,0.60,0.50,,0.30,0.50,
22-07-2019,12,,,,,,,,,0.40,,,,,0.40,,0.60,,,0.30,,0.20,0.20,,0.30,0.50,0.30,0.50,0.20,0.10,0.40,,0.30,0.30,,,,,0.30,,,0.50,0.30,,0.40,0.20,,0.20,0.40,
22-07-2019,13,,,,,,,,,0.40,,,,,0.50,,0.40,,,0.30,,0.30,0.20,,0.20,0.60,0.30,0.40,0.20,0.00,0.40,,0.10,0.20,,,,,0.40,,,0.40,0.20,,0.10,,,0.10,0.30,
22-07-2019,14,,0.30,,,,,,,0.30,,,,,0.40,,0.30,,,0.20,,0.30,0.20,,0.10,0.20,0.40,0.30,0.20,0.20,0.40,,0.10,0.20,,,,,0.20,,,0.30,0.10,,0.10,0.10,,0.10,0.20,
22-07-2019,15,,0.30,,,,,0.20,,0.30,,,,,0.30,,0.20,,,0.10,,0.30,0.20,,0.10,0.30,0.20,0.30,0.20,0.10,0.30,,0.10,0.10,,,,,0.20,,,0.30,0.10,,0.10,0.10,,0.10,0.20,
22-07-2019,16,,0.20,,,,,0.10,,0.20,,,,,0.20,,0.20,,,0.10,,0.20,0.30,,0.10,0.20,0.10,0.20,,0.10,0.20,,0.10,0.10,,,,,0.10,,,0.30,0.10,,0.10,0.10,,0.10,0.20,
22-07-2019,17,,0.20,,,,,0.10,,0.10,,,,,0.20,,0.20,,,0.10,,0.20,0.20,,0.10,0.10,0.10,0.20,0.20,0.10,0.20,,0.10,0.10,,,,,0.20,,,0.20,0.10,,0.10,0.00,,0.20,0.30,
22-07-2019,18,,0.10,,,,,0.10,,0.10,,,,,0.20,,0.20,,,0.00,,0.20,0.10,,0.20,0.10,0.10,0.20,0.10,0.10,0.10,,0.10,0.00,,,,,0.10,,,0.20,0.10,,0.10,0.10,,0.10,0.40,
22-07-2019,19,,0.10,,,,,0.10,,0.10,,,,,0.20,,0.30,,,0.10,,0.10,0.20,,0.10,0.20,0.10,0.20,0.10,0.20,0.10,,0.10,0.00,,,,,0.10,,,0.30,0.10,,0.10,0.20,,0.10,0.30,
22-07-2019,20,,0.10,,,,,0.20,,0.20,,,,,0.40,,0.30,,,0.20,,0.20,0.30,,0.30,0.30,0.30,0.30,0.10,0.40,0.10,,0.00,0.10,,,,,0.20,,,0.30,0.20,,0.20,0.20,,0.20,0.30,
22-07-2019,21,,0.20,,,,,0.20,,0.20,,,,,0.30,,0.20,,,0.20,,0.20,0.50,,0.40,0.10,0.30,0.30,0.20,0.40,0.30,,0.20,0.10,,,,,0.30,,,0.20,0.20,,0.30,0.20,,0.20,0.20,
22-07-2019,22,,0.20,,,,,0.30,,0.20,,,,,0.30,,0.10,,,0.40,,0.20,0.30,,0.20,0.20,0.30,0.30,0.10,0.20,0.20,,0.20,0.10,,,,,0.40,,,0.20,0.20,,0.30,0.50,,0.20,0.20,
22-07-2019,23,,0.10,,,,,0.40,,0.20,,,,,0.20,,0.10,,,0.30,,0.10,0.40,,0.30,0.20,0.40,0.20,0.20,0.30,0.20,,0.10,0.30,,,,,0.10,,,0.10,0.10,,0.30,0.30,,0.10,0.30,
22-07-2019,24,,0.10,,,,,0.20,,0.20,,,,,0.10,,0.10,,,0.20,,0.10,0.30,,0.20,0.10,0.20,0.10,0.30,0.10,0.10,,0.10,0.10,,,,,0.20,,,0.10,0.10,,0.30,0.20,,0.10,0.10,
23-07-2019,1,,0.10,,,,,0.20,,0.10,,0.20,,,0.10,,0.10,,,0.20,,0.20,0.20,,0.10,0.10,0.20,0.10,0.30,0.10,0.10,,0.20,0.00,,,,,0.20,,,0.10,0.10,,0.20,0.20,,0.10,0.00,
23-07-2019,2,,0.10,,,,,0.10,,0.00,,0.10,,,0.10,,0.00,,,0.00,,0.10,0.10,,0.10,0.10,0.20,0.00,0.20,0.10,0.00,,0.10,0.00,,,,,0.10,,,0.00,0.10,,0.20,0.10,,0.00,0.10,
23-07-2019,3,,0.00,,,,,0.00,,0.00,,0.10,,,0.10,,0.00,,,0.00,,0.10,0.00,,0.10,0.00,0.20,0.00,0.10,0.00,0.00,,0.10,0.00,,,,,0.10,,,0.00,0.10,,0.10,0.10,,0.00,0.20,
23-07-2019,4,,0.00,,,,,0.00,,0.00,,0.20,,,0.10,,0.10,,,0.00,,0.10,0.00,,0.10,0.10,0.30,0.10,0.20,0.10,0.00,,0.00,0.00,,,,,0.10,,,0.10,0.10,,0.10,0.20,,0.00,0.40,
23-07-2019,5,,0.10,,,,,0.10,,0.00,,0.40,,,0.20,,0.20,,,0.20,,0.10,0.20,,0.30,0.10,0.30,0.20,0.20,0.20,0.10,,0.10,0.10,,,,,0.20,,,0.20,0.20,,0.20,0.30,,0.20,0.50,
23-07-2019,6,,0.10,,,,,0.20,,0.10,,1.00,,,0.20,,0.30,,,0.30,,0.00,0.50,,0.60,0.40,0.40,0.40,0.20,0.30,0.20,,0.30,0.50,,,,,0.30,,,0.40,0.50,,0.60,0.40,,0.30,1.10,
23-07-2019,7,,0.20,,,,,0.30,,0.20,,1.70,,,0.40,,0.30,,,0.40,,0.10,0.70,,0.70,0.40,0.80,0.50,0.20,0.40,0.30,,0.70,0.90,,,,,0.90,,,0.40,0.50,,0.70,0.60,,0.30,1.40,
23-07-2019,8,,0.30,,,,,0.50,,0.30,,1.20,,,0.50,,,,,0.50,,0.30,0.70,,0.50,1.10,0.70,0.40,0.20,0.50,0.20,,0.80,0.70,,,,,0.60,,,0.80,0.40,,0.80,0.50,,0.60,1.40,
23-07-2019,9,,0.30,,,,,0.40,,0.40,,0.40,,,0.40,,,,,0.40,,0.20,0.60,,0.60,1.20,0.80,0.30,,0.50,0.30,,0.50,0.60,,,,,0.50,,,0.50,0.40,,0.70,0.60,,0.40,0.60,
23-07-2019,10,,0.20,,,,,0.30,,0.30,,0.20,,,0.40,,,,,0.30,,0.10,0.40,,0.50,0.80,0.60,0.30,,0.40,0.20,,0.50,0.50,,,,,0.50,,,0.40,0.60,,0.50,0.60,,0.30,0.60,
23-07-2019,11,,0.20,,,,,0.30,,0.20,,0.20,,,0.30,,,,,0.30,,0.20,0.40,,0.30,0.60,0.40,0.30,,0.30,0.20,,0.30,0.30,,,,,0.50,,,0.50,0.40,,0.40,0.40,,0.20,0.70,
23-07-2019,12,,0.20,,,,,0.30,,0.30,,0.20,,,0.20,,,,,0.40,,0.20,0.40,,0.20,0.40,0.30,0.40,,0.20,0.30,,0.30,,,,,,0.40,,,0.50,0.20,,0.40,0.30,,0.10,0.20,
23-07-2019,13,,0.30,,,,,0.30,,0.30,,0.20,,,0.30,,,,,0.30,,0.10,0.30,,0.20,0.20,0.30,0.50,,0.20,0.30,,0.10,0.10,,,,,0.40,,,0.40,0.10,,0.30,0.20,,0.10,0.30,
23-07-2019,14,,0.30,,,,,0.20,,0.30,,0.20,,,0.40,,,,,0.10,,0.10,0.10,,0.10,0.10,0.20,0.30,,0.10,0.30,,0.10,0.10,,,,,0.30,,,0.30,0.10,,0.30,0.10,,0.00,0.20,
23-07-2019,15,,0.20,,,,,0.20,,0.30,,0.10,,,0.30,,,,,0.10,,0.30,0.30,,0.10,0.20,0.10,0.40,,0.30,0.20,,0.40,0.10,,,,,0.20,,,0.30,0.00,,0.30,0.10,,0.00,0.20,
23-07-2019,16,,0.10,,,,,0.20,,0.20,,0.10,,,0.30,,,,,0.20,,0.20,0.20,,0.10,0.20,0.30,0.40,,0.20,0.20,,0.10,0.20,,,,,0.10,,,0.30,0.00,,0.10,0.10,,0.00,0.30,
23-07-2019,17,,0.00,,,,,0.10,,0.10,,0.10,,,0.20,,,,,0.10,,0.10,0.10,,0.20,0.40,0.30,0.20,,0.20,0.10,,0.10,0.10,,,,,0.20,,,0.50,0.20,,0.10,0.10,,0.00,0.20,
23-07-2019,18,,0.20,,,,,0.30,,0.20,,0.20,,,0.20,,,,,0.20,,0.20,0.20,,0.30,0.70,0.40,0.20,,0.20,0.20,,0.10,0.00,,,,,0.20,,,0.40,0.10,,0.10,0.30,,0.10,0.10,
23-07-2019,19,,0.20,,,,,0.40,,0.30,,0.10,,,0.20,,,,,0.30,,,0.30,,0.20,0.40,0.60,0.20,,0.50,0.30,,0.20,0.10,,,,,0.30,,,0.30,0.10,,0.20,0.50,,0.10,0.20,
23-07-2019,20,,0.20,,,,,0.30,,0.30,,0.10,,,0.30,,,,,0.30,,,0.40,,0.40,0.40,0.50,,,0.50,0.20,,0.30,0.10,,,,,0.40,,,0.30,0.20,,0.40,0.50,,0.20,0.50,
23-07-2019,21,,0.20,,,,,0.30,,0.20,,0.30,,,0.30,,,,,0.40,,,0.50,,0.40,0.40,0.60,,,0.50,0.30,,0.40,0.40,,,,,0.40,,,0.30,0.20,,0.40,0.60,,0.10,0.60,
23-07-2019,22,,0.10,,,,,0.40,,0.30,,0.30,,,0.30,,,,,0.30,,,0.30,,0.10,0.50,0.50,,,0.50,0.30,,0.30,0.20,,,,,0.40,,,0.20,0.30,,0.40,0.40,,0.10,0.50,
23-07-2019,23,,0.10,,,,,0.30,,0.40,,0.20,,,0.30,,,,,0.40,,,0.40,,0.10,0.10,0.40,,,0.40,0.40,,0.20,0.30,,,,,0.40,,,0.30,0.10,,0.40,0.30,,0.00,0.20,
23-07-2019,24,,0.00,,,,,0.20,,0.30,,0.10,,,0.10,,,,,0.20,,,0.30,,0.30,0.20,0.30,,,0.30,0.20,,,0.50,,,,,,,,,0.20,,0.60,0.40,,,0.70,
24-07-2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-07-2019,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-07-2019,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-07-2019,4,,0.10,,,,,0.00,,0.10,,0.10,,,0.00,,0.10,,,0.10,,0.10,0.00,,0.00,0.10,0.20,0.40,0.20,0.10,,,0.10,0.20,,,,,0.10,,,0.00,0.10,,0.10,0.10,,0.00,0.20,
24-07-2019,5,,0.10,,,,,0.10,,0.00,,0.20,,,0.10,,0.10,,,0.10,,0.10,0.10,,0.20,0.20,0.30,0.50,0.10,0.20,,,0.20,0.10,,,,,0.10,,,0.20,0.20,,0.10,0.10,,0.10,0.20,
24-07-2019,6,,0.20,,,,,0.10,,0.10,,0.30,,,0.20,,0.50,,,0.30,,0.10,0.20,,0.40,0.40,0.50,0.20,0.10,0.30,0.00,,0.20,0.30,,,,,0.10,,,0.30,0.30,,0.20,0.40,,0.10,0.40,
24-07-2019,7,,0.20,,,,,0.20,,0.30,,0.50,,,0.40,,0.90,,,0.40,,0.10,0.50,,0.50,0.50,0.60,0.50,0.10,0.50,0.10,,0.50,0.70,,,,,0.20,,,0.60,0.50,,0.50,0.50,,0.30,0.90,
24-07-2019,8,,0.20,,,,,0.50,,0.30,,0.60,,,0.40,,0.90,,,0.40,,0.20,0.40,,0.60,0.50,0.90,0.60,0.10,0.80,0.20,,0.50,0.70,,,,,0.20,,,0.70,0.70,,0.50,0.50,,0.30,0.90,
24-07-2019,9,,0.30,,,,,0.30,,0.40,,0.50,,,0.30,,0.30,,,0.40,,0.20,0.50,,0.50,0.50,0.80,0.40,0.10,0.60,0.20,,0.40,0.90,,,,,0.20,,,0.80,0.60,,0.50,0.70,,0.30,0.90,
24-07-2019,10,,0.30,,,,,0.30,,0.40,,0.30,,,0.20,,0.40,,,0.40,,0.20,0.60,,0.20,0.60,0.60,0.40,0.10,0.40,0.20,,0.50,0.60,,,,,0.30,,,0.60,0.40,,0.40,0.70,,0.20,0.60,
